Date: 10/11/2024 10:49:01 AM, Core: 1, Hello from process 5
Date: 10/11/2024 10:49:01 AM, Core: 1, Hello from process 5
Date: 10/11/2024 10:49:01 AM, Core: 1, Hello from process 5
Date: 10/11/2024 10:49:01 AM, Core: 1, Hello from process 5
Date: 10/11/2024 10:49:01 AM, Core: 1, Hello from process 5
Date: 10/11/2024 10:49:02 AM, Core: 1, Hello from process 5
Date: 10/11/2024 10:49:02 AM, Core: 1, Hello from process 5
Date: 10/11/2024 10:49:02 AM, Core: 1, Hello from process 5
Date: 10/11/2024 10:49:02 AM, Core: 1, Hello from process 5
Date: 10/11/2024 10:49:02 AM, Core: 1, Hello from process 5
Date: 10/11/2024 10:49:02 AM, Core: 1, Hello from process 5
Date: 10/11/2024 10:49:02 AM, Core: 1, Hello from process 5
Date: 10/11/2024 10:49:02 AM, Core: 1, Hello from process 5
Date: 10/11/2024 10:49:02 AM, Core: 1, Hello from process 5
Date: 10/11/2024 10:49:03 AM, Core: 1, Hello from process 5
Date: 10/11/2024 10:49:03 AM, Core: 1, Hello from process 5
Date: 10/11/2024 10:49:03 AM, Core: 1, Hello from process 5
Date: 10/11/2024 10:49:03 AM, Core: 1, Hello from process 5
Date: 10/11/2024 10:49:03 AM, Core: 1, Hello from process 5
Date: 10/11/2024 10:49:03 AM, Core: 1, Hello from process 5
Date: 10/11/2024 10:49:03 AM, Core: 1, Hello from process 5
Date: 10/11/2024 10:49:03 AM, Core: 1, Hello from process 5
Date: 10/11/2024 10:49:03 AM, Core: 1, Hello from process 5
Date: 10/11/2024 10:49:04 AM, Core: 1, Hello from process 5
Date: 10/11/2024 10:49:04 AM, Core: 1, Hello from process 5
Date: 10/11/2024 10:49:04 AM, Core: 1, Hello from process 5
Date: 10/11/2024 10:49:04 AM, Core: 1, Hello from process 5
Date: 10/11/2024 10:49:04 AM, Core: 1, Hello from process 5
Date: 10/11/2024 10:49:04 AM, Core: 1, Hello from process 5
